Home Team;Away Team;Score;Half Time Score;Match Excitement;Home Team Rating;Away Team Rating;Home Team Possession %;Away Team Possession %;Home Team Off Target Shots;Home Team On Target Shots;Home Team Total Shots;Home Team Blocked Shots;Home Team Corners;Home Team Throw Ins;Home Team Pass Success %;Home Team Aerials Won;Home Team Clearances;Home Team Fouls;Home Team Yellow Cards;Home Team Second Yellow Cards;Home Team Red Cards;Away Team Off Target Shots;Away Team On Target Shots;Away Team Total Shots;Away Team Blocked Shots;Away Team Corners;Away Team Throw Ins;Away Team Pass Success %;Away Team Aerials Won;Away Team Clearances;Away Team Fouls;Away Team Yellow Cards;Away Team Second Yellow Cards;Away Team Red Cards
REAL SOCIEDAD;VALLADOLID;1-0;0-0;3;7;5.5;55;45;6;4;13;3;8;20;79;32;24;15;1;0;0;1;1;6;4;4;26;72;12;15;11;1;0;0
EIBAR;LEVANTE;3-0;1-0;6;7.3;4.4;44;56;2;10;15;3;3;18;72;22;26;15;3;0;0;5;3;10;2;6;32;74;19;18;16;2;0;0
VALENCIA;REAL BETIS;2-1;0-0;7.1;7;5.6;35;65;3;5;10;2;6;19;74;10;11;13;2;0;0;4;5;14;5;7;20;89;11;13;9;3;0;0
LEGAN心;ALAV心;1-1;0-0;4.4;5.9;5.7;55;45;7;6;19;6;6;35;67;26;14;18;3;0;0;3;4;8;1;4;28;50;32;29;18;3;0;0
GRANADA;CELTA;0-0;0-0;2.1;6.1;6.3;41;59;7;0;14;7;6;24;67;20;13;14;3;0;0;3;2;6;1;1;29;80;20;23;11;5;0;0
SEVILLA FC;OSASUNA;3-2;2-0;8;6.5;5.2;64;36;4;5;12;3;7;20;80;20;21;9;2;0;0;9;4;14;1;1;25;60;21;19;14;2;0;1
ATHLETIC;VILLARREAL;1-0;0-0;4.2;6.2;5.2;43;57;6;6;18;6;5;24;73;18;22;11;6;0;0;6;3;10;1;6;21;79;13;26;13;6;0;0
ESPANYOL;ATLETICO MADRID;1-1;1-0;4.6;5.9;5.9;38;62;5;3;9;1;3;18;57;38;25;20;3;0;0;1;2;5;2;4;28;76;33;22;18;4;0;0
MALLORCA;GETAFE;0-1;0-0;3;5;6.8;55;45;1;1;4;2;4;28;66;34;13;13;3;1;0;3;5;9;1;3;28;61;39;11;24;5;0;0
REAL MADRID;BARCELONA;2-0;0-0;5.1;7.3;6;44;56;7;5;13;1;8;11;88;7;12;13;2;0;0;2;4;9;3;2;14;90;4;15;10;2;0;0
ALAV心;VALENCIA;1-1;0-1;3.9;6.1;6.6;43;57;3;2;13;8;3;23;79;21;15;9;5;0;0;4;2;6;1;3;15;82;10;29;10;3;0;0
EIBAR;MALLORCA;1-2;0-1;5.7;5.5;6.4;65;35;4;2;13;7;4;32;77;36;13;16;6;0;0;4;4;10;2;3;16;61;26;31;8;3;0;0
ATLETICO MADRID;SEVILLA FC;2-2;2-2;7.4;6;6.1;45;55;10;3;21;8;8;18;76;21;9;14;2;0;0;4;4;12;4;4;18;81;20;30;16;4;0;0
BARCELONA;REAL SOCIEDAD;1-0;0-0;3.7;7.2;5.2;54;46;6;6;13;1;4;12;83;17;17;12;4;0;0;6;1;9;2;4;20;81;14;11;10;3;0;0
GETAFE;CELTA;0-0;0-0;3.1;6.3;5.8;56;44;9;6;19;4;9;27;72;31;13;18;5;1;0;1;2;3;0;1;21;69;20;36;14;5;0;0
OSASUNA;ESPANYOL;1-0;0-0;3.6;6.1;4.9;51;49;9;6;17;2;7;29;62;39;23;17;3;0;0;4;2;8;2;3;26;58;30;22;12;2;1;0
VALLADOLID;ATHLETIC;1-4;0-2;6.5;4.7;8;57;43;12;2;19;5;8;32;79;21;5;9;1;0;0;4;5;10;1;1;20;72;23;34;13;2;0;0
LEVANTE;GRANADA;1-1;1-0;4.3;5.6;6.4;55;45;5;3;11;3;6;23;75;18;15;21;3;0;0;1;7;10;2;4;27;69;12;22;13;3;0;0
VILLARREAL;LEGAN心;1-2;1-0;6.3;4.9;7.2;64;36;9;5;15;1;2;21;87;13;20;10;4;0;0;4;7;12;1;5;20;79;18;34;11;3;0;0
REAL BETIS;REAL MADRID;2-1;1-1;6;6.6;5.9;43;57;6;3;14;5;6;23;76;8;20;8;1;0;0;8;4;14;2;2;26;83;16;13;11;1;0;0
SEVILLA FC;REAL BETIS;2-0;0-0;4.5;7.6;5.3;46;54;5;5;13;3;11;18;79;28;13;13;0;0;0;5;1;12;6;2;18;85;11;21;16;2;0;0
GRANADA;GETAFE;2-1;0-1;4.8;6.1;5.1;53;47;4;4;10;2;2;26;66;30;28;17;6;0;0;2;2;6;2;3;37;56;41;13;16;4;0;0
VALENCIA;LEVANTE;1-1;0-0;5.8;6.1;6;50;50;7;3;12;2;0;19;84;13;17;11;1;0;0;2;4;14;8;6;16;84;7;15;13;3;1;0
ESPANYOL;ALAV心;2-0;1-0;4.2;6.9;4.6;70;30;6;9;19;4;2;18;82;26;5;16;4;0;0;1;0;1;0;1;26;65;23;16;19;3;0;1
CELTA;VILLARREAL;0-1;0-0;3.7;5.7;6.6;41;59;2;0;4;2;2;23;77;13;19;5;1;0;0;6;4;15;5;8;25;85;16;14;20;1;0;0
LEGAN心;VALLADOLID;1-2;0-1;4.7;5.5;5.8;69;31;6;2;11;3;2;28;78;26;6;21;2;0;0;3;2;6;1;1;24;51;19;28;20;4;0;0
MALLORCA;BARCELONA;0-4;0-2;6.2;5;8.4;35;65;7;3;13;3;9;19;83;9;7;17;1;0;0;3;7;12;2;3;12;89;21;19;5;2;0;0
ATHLETIC;ATLETICO MADRID;1-1;1-1;4.2;6.1;6.3;55;45;4;3;10;3;5;25;80;31;18;10;3;0;0;3;2;9;4;7;24;75;25;17;9;0;0;0
REAL MADRID;EIBAR;3-1;3-0;5.8;6.8;5.8;56;44;1;5;6;0;3;21;84;13;17;11;1;0;0;3;5;9;1;3;37;80;12;13;12;1;0;0
REAL SOCIEDAD;OSASUNA;1-1;0-1;4.1;6.5;6.4;65;35;4;4;9;1;1;22;83;25;21;5;1;0;0;4;1;8;3;6;18;73;26;13;13;3;0;0
LEVANTE;SEVILLA FC;1-1;0-0;5;6.5;6.4;42;58;4;4;11;3;5;12;82;10;15;12;1;0;0;3;4;10;3;6;20;88;9;22;10;1;0;0
REAL BETIS;GRANADA;2-2;0-1;8.2;6.3;5.4;80;20;7;6;18;5;11;21;88;22;3;13;2;0;0;0;5;8;3;2;10;58;9;22;18;4;0;0
GETAFE;ESPANYOL;0-0;0-0;2.8;5.8;5.7;69;31;12;4;21;5;5;38;76;30;17;15;3;0;0;2;3;5;0;5;20;51;43;29;9;2;0;1
VILLARREAL;MALLORCA;1-0;1-0;4.3;6.2;5.8;52;48;3;4;10;3;2;14;82;19;23;16;3;0;0;8;5;15;2;6;19;81;22;14;10;4;0;0
BARCELONA;LEGAN心;2-0;1-0;4.3;7.1;5.4;75;25;5;5;10;0;3;16;92;8;6;16;5;0;0;2;2;6;2;2;15;75;10;7;16;3;0;0
VALLADOLID;CELTA;0-0;0-0;2.7;5.5;6.4;40;60;4;1;6;1;5;28;74;24;21;18;3;0;0;3;4;11;4;8;15;82;20;12;15;3;0;0
EIBAR;ATHLETIC;2-2;1-1;6.8;5.8;5.7;47;53;2;6;12;4;8;34;57;36;13;10;3;0;0;0;3;6;3;3;33;62;41;27;11;2;0;0
OSASUNA;ATLETICO MADRID;0-5;0-1;5.8;4;8.7;48;52;6;3;13;4;3;27;67;37;21;12;3;0;0;2;6;10;2;2;38;72;35;13;8;3;0;0
ALAV心;REAL SOCIEDAD;2-0;0-0;5.3;6.8;4.8;35;65;5;7;15;3;5;19;65;28;12;21;2;1;0;5;1;9;3;6;25;80;14;8;11;3;1;0
REAL MADRID;VALENCIA;3-0;0-0;6.9;8.3;4.7;63;37;2;14;19;3;8;8;92;8;7;12;0;0;0;1;2;4;1;2;18;82;6;22;11;2;0;1
GRANADA;VILLARREAL;0-1;0-1;3.5;5.7;6.3;51;49;8;4;14;2;5;35;76;19;5;17;0;0;0;2;1;5;2;0;27;79;21;35;15;3;0;0
MALLORCA;LEGAN心;1-1;1-0;4.9;6.3;5.9;38;62;3;3;7;1;3;23;65;27;33;15;3;0;0;3;4;16;9;7;18;78;27;7;11;6;0;0
SEVILLA FC;BARCELONA;0-0;0-0;2.9;6.3;6.5;36;64;3;4;8;1;2;17;79;11;23;17;3;0;0;2;4;10;4;9;17;88;16;13;8;2;0;0
ESPANYOL;LEVANTE;1-3;1-1;7;4.8;7.3;46;54;4;3;10;3;8;23;77;21;16;11;2;0;0;4;8;14;2;5;19;80;20;29;10;0;0;0
ATHLETIC;REAL BETIS;1-0;1-0;4.3;6.2;5.6;43;57;7;3;12;2;11;12;76;17;17;16;4;0;0;1;5;9;3;5;27;82;16;12;11;0;0;0
GETAFE;EIBAR;1-1;1-1;3.3;5.5;6;55;45;6;2;9;1;2;47;52;38;29;18;3;0;0;5;2;8;1;1;38;50;44;27;15;0;0;0
ATLETICO MADRID;VALLADOLID;1-0;0-0;3.5;6.7;5.9;62;38;8;4;15;3;10;21;85;25;12;14;4;0;0;4;2;6;0;1;16;75;13;20;12;2;0;0
CELTA;ALAV心;6-0;4-0;6.5;9.3;3.4;73;27;2;10;15;3;7;18;90;16;13;14;1;0;0;2;2;4;0;4;14;74;11;18;10;1;0;1
VALENCIA;OSASUNA;2-0;2-0;3.8;6.7;5.7;55;45;0;3;7;4;1;18;84;14;26;7;1;0;0;8;3;13;2;7;19;80;20;5;19;2;0;0
REAL SOCIEDAD;REAL MADRID;1-2;0-0;5.7;5.3;6.9;51;49;5;2;10;3;4;19;85;10;15;16;4;0;0;4;6;10;0;1;20;84;8;15;15;2;0;0
VILLARREAL;SEVILLA FC;2-2;2-1;7.1;5.9;6.6;41;59;2;5;7;0;3;25;79;14;20;16;3;0;0;3;7;14;4;8;24;83;18;12;12;3;0;0
LEGAN心;GRANADA;0-0;0-0;2.4;6.1;5.4;59;41;7;3;10;0;4;40;77;22;9;12;4;0;0;2;1;4;1;2;18;68;26;29;17;4;0;0
LEVANTE;ATLETICO MADRID;0-1;0-1;3.7;5.2;7.4;57;43;5;1;12;7;10;23;85;19;15;12;4;0;0;3;7;12;2;4;20;80;19;25;14;2;0;0
VALLADOLID;GETAFE;1-1;1-1;3.9;5.5;5.8;46;54;2;2;6;2;7;27;56;38;15;12;5;0;0;8;1;15;6;8;20;63;43;21;19;2;0;0
BARCELONA;ATHLETIC;1-0;0-0;3.2;6.6;6;73;27;8;4;18;6;6;25;87;22;13;10;2;0;0;4;0;6;2;2;12;68;18;20;16;1;0;0
REAL SOCIEDAD;CELTA;0-1;0-1;3.2;6.1;6.7;59;41;6;6;13;1;7;34;81;26;8;18;4;0;0;3;1;4;0;3;21;74;19;21;15;2;0;0
ALAV心;OSASUNA;0-1;0-0;2.2;5.6;6.4;53;47;3;0;5;2;7;42;61;45;18;12;2;0;0;4;1;7;2;3;23;58;27;25;14;3;0;0
REAL MADRID;MALLORCA;2-0;1-0;5;6.7;5.7;55;45;5;6;14;3;5;16;88;8;9;18;4;0;0;5;4;11;2;4;12;86;11;8;12;2;0;0
EIBAR;VALENCIA;1-0;1-0;3.4;6.1;5.2;34;66;4;5;14;5;10;19;63;27;21;12;4;0;0;5;0;7;2;8;33;77;31;25;7;1;1;0
REAL BETIS;ESPANYOL;1-0;0-0;3.6;6.7;5.6;65;35;3;6;12;3;6;23;84;29;22;18;4;0;0;3;3;9;3;5;28;68;11;22;18;4;0;0
SEVILLA FC;VALLADOLID;1-1;0-1;4.8;6;5.9;75;25;7;3;15;5;5;23;87;19;8;16;3;0;0;3;5;11;3;1;18;65;19;29;17;2;0;0
ATHLETIC;MALLORCA;3-1;2-0;6.2;6.9;5;47;53;4;6;12;2;1;15;80;22;19;17;1;0;0;7;2;14;5;8;15;81;18;6;16;2;0;0
CELTA;BARCELONA;2-2;0-1;8.4;7;5.9;32;68;1;6;10;3;3;10;77;10;27;19;3;0;0;8;2;18;8;8;17;88;7;9;10;4;0;0
OSASUNA;LEGAN心;2-1;1-0;6.1;6.5;6;52;48;1;5;6;0;2;23;71;23;19;12;1;0;0;9;7;21;5;4;37;73;27;16;15;1;0;0
ATLETICO MADRID;ALAV心;2-1;0-0;5.4;6.4;5.3;70;30;6;4;14;4;3;21;88;28;7;13;3;0;0;3;2;6;1;1;18;65;17;19;14;2;0;0
LEVANTE;REAL BETIS;4-2;2-0;8.2;6.8;5.7;36;64;3;4;9;2;2;7;77;15;12;13;0;0;0;3;8;17;6;5;27;88;5;6;14;4;0;0
VILLARREAL;VALENCIA;2-0;2-0;4.1;6.8;5.5;57;43;12;4;17;1;1;19;90;7;19;9;0;0;0;2;0;4;2;4;12;86;10;5;18;2;0;0
GRANADA;EIBAR;1-2;0-1;5.7;5.4;6.6;58;42;6;5;14;3;8;37;67;37;19;8;1;0;0;5;6;13;2;5;34;62;18;19;13;0;0;0
ESPANYOL;REAL MADRID;0-1;0-1;3.8;5.9;6.5;31;69;2;5;8;1;0;16;76;17;20;19;1;0;0;5;6;14;3;5;19;88;13;3;13;1;0;0
GETAFE;REAL SOCIEDAD;2-1;1-0;5;6;5.2;41;59;5;4;11;2;5;28;54;23;26;22;6;0;0;3;1;5;1;4;42;69;46;11;11;3;0;0
MALLORCA;CELTA;5-1;3-0;6.8;7.3;5.3;40;60;1;7;9;1;2;14;81;10;16;16;3;0;0;2;8;12;2;11;16;86;17;6;12;2;0;0
LEGAN心;SEVILLA FC;0-3;0-2;5.3;4.7;7.9;42;58;5;3;9;1;4;16;80;18;13;23;4;0;0;4;6;11;1;2;22;87;17;15;10;3;0;0
BARCELONA;ATLETICO MADRID;2-2;1-1;7.1;6.2;6;73;27;5;5;12;2;3;13;92;13;12;11;3;0;0;3;3;10;4;1;16;77;14;12;15;5;0;0
VALENCIA;ATHLETIC;0-2;0-1;4.2;5.4;7.2;52;48;9;1;10;0;3;15;83;16;19;9;1;0;0;5;4;12;3;5;22;79;17;20;12;0;0;0
ALAV心;GRANADA;0-2;0-1;4.2;5.5;6.7;55;45;2;4;11;5;6;32;74;33;15;18;3;0;0;1;4;7;2;2;26;63;20;24;17;2;0;0
REAL BETIS;VILLARREAL;0-2;0-2;4.7;4.5;7.6;46;54;6;1;9;2;1;19;83;12;11;10;3;1;0;7;6;15;2;5;19;89;7;11;16;1;0;0
VALLADOLID;LEVANTE;0-0;0-0;3.1;5.8;6.1;47;53;9;4;15;2;8;30;82;14;20;10;2;0;0;4;3;8;1;3;19;84;10;20;12;1;0;0
EIBAR;OSASUNA;0-2;0-1;4.1;5.1;6.9;55;45;4;4;11;3;9;39;67;43;13;8;1;0;0;3;6;9;0;4;29;56;52;22;12;1;0;0
REAL SOCIEDAD;ESPANYOL;2-1;0-1;5.5;7;5.9;63;37;5;4;12;3;4;28;83;24;9;11;2;0;0;1;3;4;0;3;14;74;22;17;15;1;0;0
REAL MADRID;GETAFE;1-0;0-0;3.2;6.4;5.3;68;32;2;4;8;2;6;32;85;10;20;15;5;0;0;5;3;10;2;5;31;61;14;18;22;5;0;0
ATLETICO MADRID;MALLORCA;3-0;2-0;5.2;7.8;5.1;48;52;7;3;15;5;4;15;85;11;14;14;2;0;0;6;1;13;6;5;21;82;15;11;11;1;0;0
CELTA;REAL BETIS;1-1;1-0;3.7;5.8;6.3;44;56;4;1;5;1;2;19;71;14;20;20;5;0;0;6;3;10;1;8;22;81;22;9;18;4;0;0
VALLADOLID;ALAV心;1-0;0-0;2.8;6.3;5.6;53;47;1;3;5;1;1;21;74;29;13;13;3;0;0;5;0;7;2;3;30;70;30;12;17;2;0;0
GRANADA;VALENCIA;2-2;0-0;7.2;6.2;5.9;54;46;11;4;17;2;7;23;75;30;14;18;2;0;0;1;3;4;0;3;31;70;22;20;14;2;0;0
ATHLETIC;REAL MADRID;0-1;0-0;3.2;5.3;7.1;44;56;4;1;7;2;3;20;81;17;12;13;4;0;0;6;4;10;1;2;21;85;8;11;8;3;0;0
ESPANYOL;LEGAN心;0-1;0-0;2.7;5.6;6.4;63;37;4;2;7;1;0;20;81;20;14;15;3;1;0;1;2;4;1;3;19;65;18;13;22;3;0;0
OSASUNA;GETAFE;0-0;0-0;1.6;5.7;5.8;48;52;2;2;6;2;2;18;56;34;19;18;5;0;0;2;1;6;3;2;37;59;35;6;21;4;0;0
VILLARREAL;BARCELONA;1-4;1-3;7.4;4.8;8.5;32;68;5;4;9;1;2;12;81;6;17;11;1;0;0;4;12;18;2;6;10;93;12;4;11;0;0;0
LEVANTE;REAL SOCIEDAD;1-1;1-1;4.2;6.3;6.3;46;54;3;4;9;2;4;16;80;14;12;17;3;0;0;4;3;8;1;2;27;82;12;12;12;2;0;0
SEVILLA FC;EIBAR;1-0;0-0;3.6;6.4;5.8;63;37;4;3;8;1;11;22;84;34;29;11;2;0;0;10;3;19;6;8;22;68;22;22;16;1;0;0
VALENCIA;VALLADOLID;2-1;1-0;5.9;6.4;6.3;59;41;3;4;10;3;5;17;87;14;9;9;3;0;0;4;5;11;2;2;18;81;4;12;5;0;0;0
CELTA;ATLETICO MADRID;1-1;0-1;4.3;6.4;6.2;51;49;3;4;9;2;6;22;83;14;14;14;4;0;0;6;2;10;2;2;24;81;17;14;13;3;0;0
GETAFE;VILLARREAL;1-3;0-0;6.1;4.2;7.2;41;59;1;2;5;2;1;36;64;14;8;19;4;0;1;2;3;6;1;3;29;74;26;15;10;1;0;1
REAL BETIS;OSASUNA;3-0;2-0;5.5;7.5;4.7;57;43;5;8;14;1;5;29;75;21;19;9;1;0;0;2;2;8;4;8;31;64;22;19;17;5;0;0
BARCELONA;ESPANYOL;1-0;0-0;3.8;6.7;5.6;74;26;4;2;9;3;6;19;90;13;14;8;0;0;1;5;2;11;4;5;12;72;15;19;12;3;0;1
EIBAR;LEGAN心;0-0;0-0;1.6;5.6;5.8;58;42;1;1;4;2;8;33;62;42;21;21;3;0;0;6;1;10;3;1;28;52;46;15;13;3;0;0
MALLORCA;LEVANTE;2-0;1-0;4.5;6.7;5.6;46;54;9;5;15;1;1;15;79;16;15;11;3;0;0;5;2;14;7;5;19;80;11;4;20;1;0;0
ATHLETIC;SEVILLA FC;1-2;1-0;6.1;5.2;7;33;67;6;4;13;3;4;22;69;21;16;18;3;0;0;7;7;20;6;7;31;83;26;13;9;2;0;0
REAL SOCIEDAD;GRANADA;2-3;0-2;8.4;5.9;6.2;68;32;8;5;19;6;8;17;84;36;19;12;2;0;0;0;3;4;1;3;26;57;20;26;13;3;0;0
REAL MADRID;ALAV心;2-0;1-0;5.1;7.1;5.2;71;29;5;8;18;5;3;22;91;6;11;5;0;0;0;4;4;10;2;2;24;74;16;18;17;1;0;0
OSASUNA;CELTA;2-1;1-1;5.8;6.3;5.7;53;47;7;5;15;3;3;27;72;30;10;10;2;0;0;7;3;12;2;4;26;71;25;41;11;2;0;0
VALLADOLID;BARCELONA;0-1;0-1;3.9;5.6;7.1;35;65;6;4;13;3;4;13;82;5;12;15;2;0;0;1;6;9;2;5;14;88;15;21;13;2;0;0
ATLETICO MADRID;REAL BETIS;1-0;0-0;3.8;6.6;5.8;38;62;3;4;9;2;2;22;77;17;16;10;1;0;1;12;3;21;6;4;18;86;16;7;10;3;0;0
ESPANYOL;EIBAR;0-2;0-2;4.9;4.4;6.4;72;28;7;3;14;4;7;32;82;37;13;13;2;0;0;4;6;11;1;2;19;58;22;31;14;2;0;0
LEVANTE;ATHLETIC;1-2;0-2;4.9;5.6;6.8;56;44;2;1;5;2;2;23;81;10;16;10;0;0;0;6;5;12;1;6;22;75;19;7;15;1;0;0
LEGAN心;VALENCIA;1-0;1-0;4.2;5.7;5.6;32;68;7;1;10;2;2;17;68;12;22;21;4;0;1;9;5;16;2;8;29;86;9;10;9;1;0;0
SEVILLA FC;MALLORCA;2-0;1-0;4.9;7;5.7;64;36;4;5;14;5;6;15;86;15;12;14;3;0;0;4;5;14;5;5;20;78;18;10;7;2;0;0
VILLARREAL;REAL SOCIEDAD;1-2;0-0;5.9;5.3;7.1;52;48;4;3;9;2;2;19;84;11;17;12;2;0;0;2;6;11;3;10;18;82;18;17;11;2;0;0
ALAV心;GETAFE;0-0;0-0;2.3;5.2;6.6;46;54;1;1;3;1;2;35;58;36;22;26;4;0;0;7;4;14;3;4;37;58;24;16;15;2;0;0
GRANADA;REAL MADRID;1-2;0-2;5.7;5.8;6.7;38;62;7;4;13;2;4;13;79;10;9;18;2;0;0;3;5;11;3;3;15;89;11;12;18;2;0;0
EIBAR;VALLADOLID;3-1;2-0;7.8;6.2;5;50;50;5;7;13;1;3;24;70;40;23;19;4;0;0;5;8;17;4;12;23;68;25;9;13;0;0;0
CELTA;LEVANTE;2-3;2-2;8.1;5.6;6.6;57;43;7;6;16;3;8;30;80;14;10;11;2;1;0;3;4;8;1;4;25;74;11;17;15;0;0;1
REAL MADRID;VILLARREAL;2-1;1-0;6.3;6.8;5.7;57;43;4;7;12;1;4;19;89;12;9;13;3;0;0;3;4;8;1;2;14;85;7;11;13;2;0;0
BARCELONA;OSASUNA;1-2;0-1;6.8;5.4;6.8;80;20;12;2;18;4;10;20;90;16;6;7;4;0;0;4;5;9;0;2;14;60;13;29;14;1;0;1
VALENCIA;ESPANYOL;1-0;1-0;4.5;5.9;5.9;48;52;2;3;9;4;4;15;85;11;20;9;2;0;1;10;6;18;2;4;15;86;15;10;18;4;0;0
MALLORCA;GRANADA;1-2;1-1;6.9;4.6;6.2;53;47;7;5;18;6;5;21;80;21;17;14;6;1;1;4;6;14;4;6;16;75;26;28;18;5;0;0
ATHLETIC;LEGAN心;0-2;0-0;4.9;5.3;6.7;61;39;5;3;10;2;3;32;85;20;13;11;2;0;1;6;4;16;6;3;14;77;17;21;11;3;0;0
GETAFE;ATLETICO MADRID;0-2;0-0;4.4;5.4;6.5;36;64;7;6;15;2;4;25;62;26;10;14;1;0;1;5;3;11;3;3;23;77;26;13;11;2;0;0
REAL SOCIEDAD;SEVILLA FC;0-0;0-0;2.7;6.4;6.4;38;62;3;4;11;4;3;20;75;26;12;16;1;0;0;3;3;8;2;2;18;84;27;22;13;2;0;0
REAL BETIS;ALAV心;1-2;0-0;6.8;5.3;6.1;73;27;4;7;14;3;6;17;88;21;11;14;5;1;0;3;5;9;1;5;16;69;20;24;18;4;0;1
ALAV心;BARCELONA;0-5;0-3;6;4.2;8.9;32;68;4;0;8;4;2;13;81;5;6;17;0;0;0;8;8;16;0;1;11;91;10;5;15;0;0;0
VALLADOLID;REAL BETIS;2-0;1-0;4.5;6.7;5.8;29;71;6;4;13;3;3;10;77;9;16;17;2;0;0;4;3;10;3;5;21;91;9;13;10;2;0;0
VILLARREAL;EIBAR;4-0;0-0;6.1;8.1;5.3;69;31;4;5;12;3;4;23;90;9;13;4;0;0;0;7;3;11;1;4;19;73;16;11;9;0;0;0
ATLETICO MADRID;REAL SOCIEDAD;1-1;1-0;4.7;5.6;6.5;43;57;3;3;6;0;2;26;78;22;21;16;1;0;0;5;3;10;2;3;20;84;22;11;9;2;0;0
LEVANTE;GETAFE;1-0;0-0;4.3;6.1;5.3;56;44;7;5;14;2;6;11;73;21;28;10;2;0;0;5;4;13;4;8;34;63;20;15;11;4;0;0
OSASUNA;MALLORCA;2-2;1-1;6.9;6.4;6.5;44;56;6;5;12;1;3;15;80;14;19;17;2;0;0;7;4;12;1;5;26;84;21;12;10;0;0;0
SEVILLA FC;VALENCIA;1-0;0-0;3.7;6.8;5.7;62;38;10;4;16;2;4;16;87;20;11;11;0;0;0;4;2;8;2;7;19;79;17;14;6;1;0;0
ESPANYOL;CELTA;0-0;0-0;2;6;6.7;50;50;7;1;8;0;1;24;76;16;15;11;2;0;0;5;3;9;1;4;20;79;15;13;11;3;0;0
GRANADA;ATHLETIC;4-0;1-0;5.5;7.7;4.6;36;64;3;6;11;2;2;25;69;24;24;9;1;0;0;6;3;10;1;3;22;82;21;7;11;2;0;0
LEGAN心;REAL MADRID;2-2;1-1;7.5;6.4;6.5;35;65;4;7;15;4;5;21;76;6;8;9;4;0;0;3;4;7;0;2;23;88;12;26;11;1;0;0
